drug1,drug2,cell,score,label
5-FU,BORTEZOMIB,HT29,-15.95161347,0
5-FU,BORTEZOMIB,KPL1,-2.997532726,0
5-FU,BORTEZOMIB,LNCAP,-1.855232481,0
5-FU,BORTEZOMIB,LOVO,-6.175982009,0
5-FU,BORTEZOMIB,MDAMB436,-2.025565761,0
5-FU,BORTEZOMIB,MSTO,52.48518972,1
5-FU,BORTEZOMIB,NCIH1650,-15.77870569,0
5-FU,BORTEZOMIB,NCIH2122,-16.69626568,0
5-FU,BORTEZOMIB,NCIH23,-9.190964586,0
5-FU,BORTEZOMIB,NCIH460,-18.99813026,0
5-FU,BORTEZOMIB,NCIH520,-24.06755091,0
5-FU,BORTEZOMIB,OV90,-9.586166869,0
5-FU,BORTEZOMIB,RPMI7951,-10.47941439,0
5-FU,BORTEZOMIB,SKMEL30,-172.8887021,0
5-FU,BORTEZOMIB,SKMES1,-11.64272985,0
5-FU,BORTEZOMIB,SKOV3,-4.604893623,0
5-FU,BORTEZOMIB,SW620,-1.907966818,0
5-FU,BORTEZOMIB,SW837,-1.3618595,0
5-FU,BORTEZOMIB,UACC62,-17.84185108,0
5-FU,BORTEZOMIB,VCAP,-7.053510631,0
5-FU,BORTEZOMIB,ZR751,-17.45137527,0
5-FU,DASATINIB,A2058,31.12564418,1
5-FU,DASATINIB,A2780,50.60366026,1
5-FU,DASATINIB,A427,28.34808451,1
5-FU,DASATINIB,CAOV3,17.87983173,1
5-FU,DASATINIB,ES2,17.69019535,1
5-FU,DASATINIB,HCT116,-7.819271786,0
5-FU,DASATINIB,HT144,-22.97327812,0
5-FU,DASATINIB,HT29,17.06698076,1
5-FU,DASATINIB,LOVO,21.38558819,1
5-FU,DASATINIB,MDAMB436,18.71869688,1
5-FU,DASATINIB,MSTO,17.56299065,1
5-FU,DASATINIB,NCIH1650,23.23497071,1
5-FU,DASATINIB,NCIH2122,-31.1947196,0
5-FU,DASATINIB,NCIH23,11.55914675,1
5-FU,DASATINIB,NCIH460,21.6687261,1
5-FU,DASATINIB,NCIH520,42.73505144,1
5-FU,DASATINIB,RKO,17.31163283,1
5-FU,DASATINIB,RPMI7951,19.06355103,1
5-FU,DASATINIB,SKMEL30,-4.618694814,0
5-FU,DASATINIB,SW620,30.44463084,1
5-FU,DASATINIB,SW837,15.87733689,1
5-FU,DASATINIB,T47D,18.86560141,1
5-FU,DASATINIB,UACC62,12.12396034,1
5-FU,DASATINIB,VCAP,21.45572644,1
5-FU,DINACICLIB,A2780,-8.161128639,0
5-FU,DINACICLIB,A375,-5.415934201,0
5-FU,DINACICLIB,A427,-7.747473682,0
5-FU,DINACICLIB,CAOV3,-14.34742589,0
5-FU,DINACICLIB,HT144,-3.477422217,0
5-FU,DINACICLIB,HT29,-2.539408744,0
5-FU,DINACICLIB,LNCAP,-0.848044466,0
5-FU,DINACICLIB,LOVO,-11.87695993,0
5-FU,DINACICLIB,NCIH1650,-2.113223506,0
5-FU,DINACICLIB,NCIH23,-9.5337023,0
5-FU,DINACICLIB,NCIH460,-7.420980558,0
5-FU,DINACICLIB,NCIH520,-4.321048546,0
5-FU,DINACICLIB,OV90,-5.935579062,0
5-FU,DINACICLIB,RPMI7951,-5.68699024,0
5-FU,DINACICLIB,SKMEL30,-96.61714003,0
5-FU,DINACICLIB,SKMES1,-3.140341301,0
5-FU,DINACICLIB,SKOV3,-13.89910152,0
5-FU,DINACICLIB,SW620,-4.568071398,0
5-FU,DINACICLIB,SW837,-19.57332293,0
5-FU,DINACICLIB,T47D,-2.721986339,0
5-FU,DINACICLIB,VCAP,14.421994,1
5-FU,DINACICLIB,ZR751,-13.58239014,0
5-FU,ERLOTINIB,A2780,16.5693311,1
5-FU,ERLOTINIB,A375,13.96439243,1
5-FU,ERLOTINIB,A427,18.42925816,1
5-FU,ERLOTINIB,CAOV3,-7.951635169,0
5-FU,ERLOTINIB,ES2,15.1231625,1
5-FU,ERLOTINIB,HCT116,14.45297793,1
5-FU,ERLOTINIB,HT29,11.33747162,1
5-FU,ERLOTINIB,KPL1,-3.015273458,0
5-FU,ERLOTINIB,LNCAP,-6.984395195,0
5-FU,ERLOTINIB,LOVO,12.41733168,1
5-FU,ERLOTINIB,MDAMB436,16.1498979,1
5-FU,ERLOTINIB,MSTO,-45.89376066,0
5-FU,ERLOTINIB,NCIH2122,24.45497683,1
5-FU,ERLOTINIB,NCIH460,17.22484698,1
5-FU,ERLOTINIB,OV90,-11.04004585,0
5-FU,ERLOTINIB,RKO,20.98757258,1
5-FU,ERLOTINIB,RPMI7951,17.00484175,1
5-FU,ERLOTINIB,SKMEL30,13.95488386,1
5-FU,ERLOTINIB,SKMES1,21.28942476,1
5-FU,ERLOTINIB,SKOV3,16.21061763,1
5-FU,ERLOTINIB,SW837,17.29938762,1
5-FU,ERLOTINIB,T47D,-3.049710368,0
5-FU,ERLOTINIB,UACC62,17.96898601,1
5-FU,ERLOTINIB,VCAP,24.41379314,1
5-FU,ERLOTINIB,ZR751,22.8306176,1
5-FU,GELDANAMYCIN,CAOV3,-12.98670671,0
5-FU,GELDANAMYCIN,ES2,-5.25702499,0
5-FU,GELDANAMYCIN,HT29,-3.946071269,0
5-FU,GELDANAMYCIN,LNCAP,16.30963881,1
5-FU,GELDANAMYCIN,LOVO,-6.353136659,0
5-FU,GELDANAMYCIN,NCIH1650,-6.752269383,0
5-FU,GELDANAMYCIN,NCIH2122,-2.692734853,0
5-FU,GELDANAMYCIN,NCIH23,-9.33481084,0
5-FU,GELDANAMYCIN,NCIH460,-2.446804514,0
5-FU,GELDANAMYCIN,RPMI7951,-8.084247184,0
5-FU,GELDANAMYCIN,SKMEL30,-80.63896867,0
5-FU,GELDANAMYCIN,SKOV3,-9.188164195,0
5-FU,GELDANAMYCIN,SW620,-2.851271236,0
5-FU,GELDANAMYCIN,SW837,-10.01418099,0
5-FU,GELDANAMYCIN,T47D,30.67999441,1
5-FU,GELDANAMYCIN,UACC62,-1.345401011,0
5-FU,GELDANAMYCIN,VCAP,14.04451922,1
5-FU,GELDANAMYCIN,ZR751,-15.00928456,0
5-FU,L778123,A427,12.32774894,1
5-FU,L778123,CAOV3,-11.24456132,0
5-FU,L778123,ES2,10.11350733,1
5-FU,L778123,HCT116,11.7123653,1
5-FU,L778123,HT29,17.54397425,1
5-FU,L778123,NCIH1650,12.21982489,1
5-FU,L778123,NCIH460,-0.561759117,0
5-FU,L778123,NCIH520,13.77820507,1
5-FU,L778123,OV90,12.2053451,1
5-FU,L778123,SKMEL30,-57.88453337,0
5-FU,L778123,SW837,-4.457131373,0
5-FU,L778123,T47D,21.15875733,1
5-FU,L778123,VCAP,12.74042941,1
5-FU,LAPATINIB,A427,-4.179454254,0
5-FU,LAPATINIB,CAOV3,-6.77752803,0
5-FU,LAPATINIB,KPL1,-9.537311313,0
5-FU,LAPATINIB,LNCAP,-16.37649722,0
5-FU,LAPATINIB,LOVO,17.4905864,1
5-FU,LAPATINIB,MSTO,-55.47026432,0
5-FU,LAPATINIB,NCIH23,-8.734799525,0
5-FU,LAPATINIB,NCIH460,-2.035012581,0
5-FU,LAPATINIB,NCIH520,-7.263521908,0
5-FU,LAPATINIB,OV90,-9.295070254,0
5-FU,LAPATINIB,RKO,11.54453602,1
5-FU,LAPATINIB,SKMES1,11.05964102,1
5-FU,LAPATINIB,SW620,-2.41819166,0
5-FU,LAPATINIB,T47D,14.90928278,1
5-FU,LAPATINIB,VCAP,10.63255814,1
5-FU,LAPATINIB,ZR751,14.67630666,1
5-FU,MK-2206,A2058,15.9003976,1
5-FU,MK-2206,A2780,18.65621252,1
5-FU,MK-2206,A427,14.11709974,1
5-FU,MK-2206,CAOV3,41.06914178,1
5-FU,MK-2206,HT29,15.70450582,1
5-FU,MK-2206,KPL1,26.86477535,1
5-FU,MK-2206,MDAMB436,11.60537383,1
5-FU,MK-2206,MSTO,-35.31198822,0
5-FU,MK-2206,NCIH1650,12.96089082,1
5-FU,MK-2206,NCIH2122,14.51823605,1
5-FU,MK-2206,NCIH460,16.58359358,1
5-FU,MK-2206,NCIH520,12.9538647,1
5-FU,MK-2206,RKO,21.99868299,1
5-FU,MK-2206,RPMI7951,13.79249022,1
5-FU,MK-2206,SKMES1,18.50316129,1
5-FU,MK-2206,SKOV3,12.72593158,1
5-FU,MK-2206,SW620,12.55548781,1
5-FU,MK-2206,UACC62,16.67190273,1
5-FU,MK-2206,ZR751,11.56023639,1
5-FU,MK-4827,A375,-2.191356891,0
5-FU,MK-4827,CAOV3,-3.746010144,0
5-FU,MK-4827,ES2,-4.081486949,0
5-FU,MK-4827,HT144,-2.572706421,0
5-FU,MK-4827,KPL1,-3.723996971,0
5-FU,MK-4827,LNCAP,-24.4814919,0
5-FU,MK-4827,LOVO,-14.5737162,0
5-FU,MK-4827,MSTO,-54.84820211,0
5-FU,MK-4827,NCIH1650,-9.248017329,0
5-FU,MK-4827,NCIH23,-10.52634233,0
5-FU,MK-4827,NCIH460,-2.86047703,0
5-FU,MK-4827,OV90,-11.5759633,0
5-FU,MK-4827,RKO,-0.321869637,0
5-FU,MK-4827,SKOV3,-0.060945557,0
5-FU,MK-4827,SW837,-12.72451513,0
5-FU,MK-4827,T47D,-9.881815829,0
5-FU,MK-4827,VCAP,10.98857906,1
5-FU,MK-5108,CAOV3,-13.04134069,0
5-FU,MK-5108,HCT116,16.57015644,1
5-FU,MK-5108,HT29,12.43049188,1
5-FU,MK-5108,LNCAP,-20.6434715,0
5-FU,MK-5108,MSTO,-34.44593587,0
5-FU,MK-5108,NCIH1650,-0.65998377,0
5-FU,MK-5108,NCIH2122,-1.788640257,0
5-FU,MK-5108,NCIH23,-2.774618677,0
5-FU,MK-5108,NCIH460,-5.659480778,0
5-FU,MK-5108,RKO,-2.418031889,0
5-FU,MK-5108,SKMEL30,14.83857145,1
5-FU,MK-5108,SKMES1,-2.969522572,0
5-FU,MK-5108,SW837,-3.194708892,0
5-FU,MK-5108,VCAP,11.64974134,1
5-FU,MK-8669,A2058,32.33623166,1
5-FU,MK-8669,A2780,16.29531308,1
5-FU,MK-8669,A375,12.7627595,1
5-FU,MK-8669,A427,20.62786482,1
5-FU,MK-8669,ES2,15.70508042,1
5-FU,MK-8669,HT29,11.81057599,1
5-FU,MK-8669,KPL1,11.18820987,1
5-FU,MK-8669,LNCAP,15.99409329,1
5-FU,MK-8669,MDAMB436,17.43632979,1
5-FU,MK-8669,MSTO,-34.43024988,0
5-FU,MK-8669,NCIH1650,15.85989462,1
5-FU,MK-8669,NCIH2122,10.30418191,1
5-FU,MK-8669,NCIH23,21.73781029,1
5-FU,MK-8669,RKO,23.25413422,1
5-FU,MK-8669,RPMI7951,27.33122745,1
5-FU,MK-8669,SKMEL30,28.19210471,1
5-FU,MK-8669,SKOV3,28.71514833,1
5-FU,MK-8669,SW620,12.13737781,1
5-FU,MK-8669,SW837,12.41659205,1
5-FU,MK-8669,T47D,24.17858199,1
5-FU,MK-8669,UACC62,12.12565179,1
5-FU,MK-8669,VCAP,29.67190189,1
5-FU,MK-8669,ZR751,10.3250317,1
5-FU,MK-8776,A2058,24.27497218,1
5-FU,MK-8776,A2058,24.27497218,1
5-FU,MK-8776,A375,21.58284028,1
5-FU,MK-8776,A375,21.58284028,1
5-FU,MK-8776,A427,25.93455259,1
5-FU,MK-8776,A427,25.93455259,1
5-FU,MK-8776,CAOV3,58.11878659,1
5-FU,MK-8776,CAOV3,58.11878659,1
5-FU,MK-8776,ES2,4.143699249,0
5-FU,MK-8776,HCT116,11.10775196,1
5-FU,MK-8776,HCT116,11.10775196,1
5-FU,MK-8776,HT29,8.391735723,1
5-FU,MK-8776,KPL1,-1.208769645,0
5-FU,MK-8776,MDAMB436,43.35485062,1
5-FU,MK-8776,MSTO,-28.69135036,0
5-FU,MK-8776,NCIH1650,10.2868776,1
5-FU,MK-8776,NCIH1650,10.2868776,1
5-FU,MK-8776,NCIH2122,3.063702356,1
5-FU,MK-8776,NCIH23,2.964151378,0
5-FU,MK-8776,NCIH460,24.84605685,1
5-FU,MK-8776,NCIH520,18.30590717,1
5-FU,MK-8776,RKO,18.42285882,1
5-FU,MK-8776,SKMEL30,-81.44128366,0
5-FU,MK-8776,SKMES1,16.98490255,1
5-FU,MK-8776,SW837,-20.52658286,0
5-FU,MK-8776,VCAP,10.86891474,1
5-FU,MK-8776,ZR751,-0.408307311,0
5-FU,PD325901,A2780,24.61014916,1
5-FU,PD325901,A375,-1.792872312,0
5-FU,PD325901,A427,16.51852763,1
5-FU,PD325901,CAOV3,-1.127802619,0
5-FU,PD325901,HCT116,18.32121168,1
5-FU,PD325901,KPL1,-6.345032217,0
5-FU,PD325901,LOVO,-6.245195086,0
5-FU,PD325901,MSTO,22.0330269,1
5-FU,PD325901,NCIH460,16.33218457,1
5-FU,PD325901,NCIH520,-1.142915464,0
5-FU,PD325901,OV90,-6.566990006,0
5-FU,PD325901,SKMEL30,-144.4016546,0
5-FU,PD325901,SKMES1,-5.424553399,0
5-FU,PD325901,T47D,46.99657957,1
5-FU,PD325901,UACC62,-3.443232407,0
5-FU,PD325901,VCAP,11.43502994,1
5-FU,PD325901,ZR751,-7.018474235,0
5-FU,SORAFENIB,CAOV3,-16.67220342,0
5-FU,SORAFENIB,HCT116,-1.955025391,0
5-FU,SORAFENIB,HT29,-3.551610833,0
5-FU,SORAFENIB,KPL1,-5.046283575,0
5-FU,SORAFENIB,LNCAP,-13.39034615,0
5-FU,SORAFENIB,LOVO,-13.81534377,0
5-FU,SORAFENIB,MDAMB436,-4.304317076,0
5-FU,SORAFENIB,MSTO,-13.50351384,0
5-FU,SORAFENIB,NCIH1650,-2.500149835,0
5-FU,SORAFENIB,NCIH2122,-3.768823231,0
5-FU,SORAFENIB,NCIH23,-1.286810998,0
5-FU,SORAFENIB,NCIH460,-0.895637539,0
5-FU,SORAFENIB,RPMI7951,-5.041472651,0
5-FU,SORAFENIB,SKOV3,10.2363359,1
5-FU,SORAFENIB,SW837,-8.60896251,0
5-FU,SORAFENIB,T47D,-4.531377558,0
5-FU,SORAFENIB,ZR751,-11.36179266,0
5-FU,SUNITINIB,ES2,14.41382075,1
5-FU,SUNITINIB,LNCAP,-6.200837303,0
5-FU,SUNITINIB,MSTO,-19.19337264,0
5-FU,SUNITINIB,RPMI7951,-1.343261089,0
5-FU,SUNITINIB,SKMES1,11.90261481,1
5-FU,SUNITINIB,SKOV3,18.2643848,1
5-FU,SUNITINIB,SW837,-4.901836837,0
5-FU,SUNITINIB,VCAP,12.48379896,1
5-FU,TEMOZOLOMIDE,A2780,-0.604352835,0
5-FU,TEMOZOLOMIDE,A375,-15.98333594,0
5-FU,TEMOZOLOMIDE,A427,18.36101941,1
5-FU,TEMOZOLOMIDE,CAOV3,-35.66063407,0
5-FU,TEMOZOLOMIDE,HCT116,-15.66309184,0
5-FU,TEMOZOLOMIDE,HT144,-24.286518,0
5-FU,TEMOZOLOMIDE,HT29,-13.17812058,0
5-FU,TEMOZOLOMIDE,KPL1,-32.03551474,0
5-FU,TEMOZOLOMIDE,LNCAP,-16.14608633,0
5-FU,TEMOZOLOMIDE,LOVO,-17.96614029,0
5-FU,TEMOZOLOMIDE,MSTO,-8.452318032,0
5-FU,TEMOZOLOMIDE,NCIH1650,-16.13611503,0
5-FU,TEMOZOLOMIDE,NCIH2122,-4.976433836,0
5-FU,TEMOZOLOMIDE,NCIH23,-22.41858189,0
5-FU,TEMOZOLOMIDE,NCIH460,-23.41105381,0
5-FU,TEMOZOLOMIDE,OV90,-8.734577697,0
5-FU,TEMOZOLOMIDE,RKO,-9.323430376,0
5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657771,0
5-FU,TEMOZOLOMIDE,SKOV3,-4.021491118,0
5-FU,TEMOZOLOMIDE,SW837,-44.6178968,0
5-FU,TEMOZOLOMIDE,T47D,-31.48916586,0
5-FU,TEMOZOLOMIDE,UACC62,-11.96862443,0
5-FU,TEMOZOLOMIDE,VCAP,-2.729516379,0
5-FU,TEMOZOLOMIDE,ZR751,-51.98862044,0
5-FU,ZOLINZA,A2058,-5.508119589,0
5-FU,ZOLINZA,A2780,-3.848401273,0
5-FU,ZOLINZA,A427,-31.94692955,0
5-FU,ZOLINZA,CAOV3,-3.518537503,0
5-FU,ZOLINZA,ES2,-1.689816761,0
5-FU,ZOLINZA,HCT116,-8.735905545,0
5-FU,ZOLINZA,HT144,-4.394725666,0
5-FU,ZOLINZA,HT29,-1.42768389,0
5-FU,ZOLINZA,KPL1,-4.343384834,0
5-FU,ZOLINZA,LOVO,-8.398048463,0
5-FU,ZOLINZA,NCIH2122,10.65626958,1
5-FU,ZOLINZA,NCIH23,-15.10567636,0
5-FU,ZOLINZA,NCIH520,-7.702952771,0
5-FU,ZOLINZA,OV90,-0.210268239,0
5-FU,ZOLINZA,RKO,11.04834069,1
5-FU,ZOLINZA,RPMI7951,-0.240638175,0
5-FU,ZOLINZA,SKMEL30,-4.880397628,0
5-FU,ZOLINZA,SKMES1,14.06216364,1
5-FU,ZOLINZA,SW620,-17.22800516,0
5-FU,ZOLINZA,SW837,-3.532158377,0
5-FU,ZOLINZA,VCAP,22.99565591,1
5-FU,ZOLINZA,ZR751,-20.67751276,0
ABT-888,BEZ-235,A2058,24.07097148,1
ABT-888,BEZ-235,A2780,29.43971431,1
ABT-888,BEZ-235,A375,26.77702751,1
ABT-888,BEZ-235,A427,14.16782834,1
ABT-888,BEZ-235,CAOV3,48.3199691,1
ABT-888,BEZ-235,ES2,12.51769006,1
ABT-888,BEZ-235,HCT116,18.26293072,1
ABT-888,BEZ-235,HT144,19.90806632,1
ABT-888,BEZ-235,HT29,24.14577087,1
ABT-888,BEZ-235,KPL1,29.12456296,1
ABT-888,BEZ-235,LNCAP,78.70408281,1
ABT-888,BEZ-235,LOVO,19.44534742,1
ABT-888,BEZ-235,MDAMB436,24.11737313,1
ABT-888,BEZ-235,MSTO,42.00615065,1
ABT-888,BEZ-235,NCIH1650,14.77514196,1
ABT-888,BEZ-235,NCIH2122,19.41109514,1
ABT-888,BEZ-235,NCIH460,18.10070106,1
ABT-888,BEZ-235,NCIH520,24.98075461,1
ABT-888,BEZ-235,OV90,16.97895851,1
ABT-888,BEZ-235,RKO,14.53775254,1
ABT-888,BEZ-235,RPMI7951,27.95688569,1
ABT-888,BEZ-235,SKMEL30,29.52276092,1
ABT-888,BEZ-235,SKMES1,19.59133468,1
ABT-888,BEZ-235,SW620,17.59296505,1
ABT-888,BEZ-235,SW837,23.28959911,1
ABT-888,BEZ-235,T47D,117.0012793,1
ABT-888,BEZ-235,UACC62,19.83430639,1
ABT-888,BEZ-235,VCAP,18.57424812,1
ABT-888,BEZ-235,ZR751,27.42592944,1
ABT-888,DINACICLIB,A2058,11.14872164,1
ABT-888,DINACICLIB,HT144,-1.294163858,0
ABT-888,DINACICLIB,KPL1,16.02930762,1
ABT-888,DINACICLIB,LNCAP,44.93017733,1
ABT-888,DINACICLIB,NCIH2122,11.67453973,1
ABT-888,DINACICLIB,NCIH23,11.97076765,1
ABT-888,DINACICLIB,OV90,-7.962884871,0
ABT-888,DINACICLIB,RPMI7951,18.16916119,1
ABT-888,DINACICLIB,SKMES1,14.3989265,1
ABT-888,DINACICLIB,SW837,-5.38924194,0
ABT-888,DINACICLIB,T47D,-24.15595065,0
ABT-888,DINACICLIB,VCAP,10.32033223,1
ABT-888,DINACICLIB,ZR751,-9.285286251,0
ABT-888,GELDANAMYCIN,A2058,22.66972082,1
ABT-888,GELDANAMYCIN,A2780,11.09323155,1
ABT-888,GELDANAMYCIN,A375,11.68003927,1
ABT-888,GELDANAMYCIN,CAOV3,16.7029633,1
ABT-888,GELDANAMYCIN,HCT116,22.97216302,1
ABT-888,GELDANAMYCIN,HT29,-4.782981467,0
ABT-888,GELDANAMYCIN,KPL1,15.32356048,1
ABT-888,GELDANAMYCIN,LNCAP,26.08846407,1
ABT-888,GELDANAMYCIN,LOVO,13.06813937,1
ABT-888,GELDANAMYCIN,MDAMB436,17.35034091,1
ABT-888,GELDANAMYCIN,MSTO,16.3961455,1
ABT-888,GELDANAMYCIN,NCIH1650,-5.261806453,0
ABT-888,GELDANAMYCIN,NCIH23,-6.233105646,0
ABT-888,GELDANAMYCIN,NCIH460,-2.126961774,0
ABT-888,GELDANAMYCIN,NCIH520,-1.957498827,0
ABT-888,GELDANAMYCIN,OV90,-8.587738631,0
ABT-888,GELDANAMYCIN,RKO,33.83147768,1
ABT-888,GELDANAMYCIN,SKMEL30,30.34189343,1
ABT-888,GELDANAMYCIN,SKOV3,-10.74656256,0
ABT-888,GELDANAMYCIN,SW620,-15.0026455,0
ABT-888,GELDANAMYCIN,T47D,-27.25381749,0
ABT-888,GELDANAMYCIN,VCAP,10.28090348,1
ABT-888,GELDANAMYCIN,ZR751,-17.08015794,0
ABT-888,MK-8669,A2058,24.76000602,1
ABT-888,MK-8669,CAOV3,21.27725009,1
ABT-888,MK-8669,ES2,-1.280599389,0
ABT-888,MK-8669,HCT116,-5.454117138,0
ABT-888,MK-8669,HT144,-6.734091569,0
ABT-888,MK-8669,KPL1,41.59951047,1
ABT-888,MK-8669,LNCAP,-1.773372245,0
ABT-888,MK-8669,MSTO,75.5280528,1
ABT-888,MK-8669,NCIH1650,-9.167662501,0
ABT-888,MK-8669,NCIH23,10.10258046,1
ABT-888,MK-8669,NCIH460,-7.257895244,0
ABT-888,MK-8669,NCIH520,13.26490494,1
ABT-888,MK-8669,OV90,-0.760299907,0
ABT-888,MK-8669,RPMI7951,12.77363389,1
ABT-888,MK-8669,SKMEL30,-0.265864753,0
ABT-888,MK-8669,SW837,-16.01122021,0
ABT-888,MK-8669,T47D,16.0705422,1
ABT-888,MK-8669,VCAP,-2.565641344,0
ABT-888,MK-8669,ZR751,-1.645029592,0
ABT-888,MK-8776,A2058,15.4587204,1
ABT-888,MK-8776,A427,-4.883183236,0
ABT-888,MK-8776,ES2,-17.17202362,0
ABT-888,MK-8776,HT144,-51.21988037,0
ABT-888,MK-8776,HT29,-1.957588732,0
ABT-888,MK-8776,LNCAP,-40.5994196,0
ABT-888,MK-8776,MSTO,10.66250321,1
ABT-888,MK-8776,NCIH1650,-3.263942497,0
ABT-888,MK-8776,NCIH2122,-7.600734919,0
ABT-888,MK-8776,NCIH23,-7.794220194,0
ABT-888,MK-8776,NCIH460,-0.296353842,0
ABT-888,MK-8776,NCIH520,-2.55467753,0
ABT-888,MK-8776,RKO,-0.017228748,0
ABT-888,MK-8776,RPMI7951,-0.944761769,0
ABT-888,MK-8776,SKMEL30,-2.321165113,0
ABT-888,MK-8776,SKMES1,-1.408604054,0
ABT-888,MK-8776,SW837,-85.53233701,0
ABT-888,MK-8776,VCAP,-9.269693283,0
ABT-888,MK-8776,ZR751,-32.47762672,0
ABT-888,SN-38,A2058,37.19755244,1
ABT-888,SN-38,A2780,27.44316256,1
ABT-888,SN-38,A375,29.45915958,1
ABT-888,SN-38,CAOV3,41.82261363,1
ABT-888,SN-38,HCT116,23.42591491,1
ABT-888,SN-38,LNCAP,28.68890188,1
ABT-888,SN-38,LOVO,-6.582623677,0
ABT-888,SN-38,MDAMB436,18.2214475,1
ABT-888,SN-38,MSTO,21.46794278,1
ABT-888,SN-38,NCIH2122,21.39044581,1
ABT-888,SN-38,NCIH23,16.48392844,1
ABT-888,SN-38,NCIH460,22.60303623,1
ABT-888,SN-38,NCIH520,12.92903881,1
ABT-888,SN-38,OV90,19.59451994,1
ABT-888,SN-38,RKO,30.53249026,1
ABT-888,SN-38,RPMI7951,23.87063157,1
ABT-888,SN-38,SKMEL30,29.65052395,1
ABT-888,SN-38,SKMES1,20.08675206,1
ABT-888,SN-38,SW620,17.8852224,1
ABT-888,SN-38,T47D,39.83231175,1
ABT-888,SN-38,UACC62,24.96544956,1
ABT-888,SN-38,VCAP,-8.532292059,0
ABT-888,SN-38,ZR751,-12.24364896,0
ABT-888,SORAFENIB,A2058,36.19616521,1
ABT-888,SORAFENIB,A375,16.66954556,1
ABT-888,SORAFENIB,A427,11.931705,1
ABT-888,SORAFENIB,CAOV3,-2.172723037,0
ABT-888,SORAFENIB,HCT116,11.83303853,1
ABT-888,SORAFENIB,HT144,10.74108755,1
ABT-888,SORAFENIB,MDAMB436,-0.60226086,0
ABT-888,SORAFENIB,MSTO,-6.859831707,0
ABT-888,SORAFENIB,NCIH2122,16.50221722,1
ABT-888,SORAFENIB,NCIH23,13.68925526,1
ABT-888,SORAFENIB,NCIH460,11.61299788,1
ABT-888,SORAFENIB,NCIH520,13.6574206,1
